,product_id,product_name,display_price,regular_price,currency,uom,item_link,item_imge_link
8,410487,Mực ống nhập khẩu đông lạnh rã đông 15-20cm,"251,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/muc-ong-nhap-khau-dong-lanh-ra-dong-15-20cm-410487/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/394776-300x300.jpg
9,410508,Mực lá đại dương nhập khẩu đông lạnh 5-10 kg/con,"216,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/muc-la-dai-duong-nhap-khau-dong-lanh-5-10-kg-con-410508/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/394774-300x300.jpg
10,410529,Gừng Đà Lạt 500g,"21,000",,₫,Gói,https://online.mmvietnam.com/san-pham/mm-an-phu/gung-da-lat-500g-410529/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/393740-300x300.png
11,410542,Nho mẫu đơn nhập khẩu xuất xứ Hàn Quốc 500g,"509,000",,₫,Hộp,https://online.mmvietnam.com/san-pham/mm-an-phu/nho-mau-don-nhap-khau-xuat-xu-han-quoc-500g-410542/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/393439-300x300.jpg
12,410556,Nho mẫu đơn nhập khẩu xuất xứ Hàn Quốc,"910,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/nho-mau-don-nhap-khau-xuat-xu-han-quoc-410556/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/393437-300x300.jpg
13,410570,Chà là USA 454g,"221,000",,₫,Hộp,https://online.mmvietnam.com/san-pham/mm-an-phu/cha-la-usa-454g-410570/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/155410-300x300.jpg
14,405884,Dưa lưới ruột cam We Are Fresh,"39,000","42,000",₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/dua-luoi-ruot-cam-we-are-fresh-405884/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/390979-300x300.jpg
15,405302,Thịt đùi heo Vietgap We Are Fresh,"122,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/thit-dui-heo-vietgap-we-are-fresh-405302/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/378668-300x300.jpg
16,405309,Cherry nhập khẩu xuất xứ Mỹ size 10,"389,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/cherry-nhap-khau-s26-xuat-xu-new-zealand-401790/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/377866-300x300.jpg
17,403522,Mực ống nhập khẩu đông lạnh rã đông 20-25cm,"286,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/muc-ong-nhap-khau-dong-lanh-ra-dong-20-25cm-403522/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/394777-300x300.jpg
